,Sentiment,Negative_Reason,Airline,Text,TextLength
1708,negative,Lost Luggage,United,", we've been waiting for over an hour for our luggage- what gives?",73
7016,neutral,,Delta, lord...,16
6212,neutral,,Southwest, please expedite missing bag claim #3526665682. Thanks!,68
6401,positive,,Southwest, Got it covered. Thanks!,37
4417,negative,Can't Tell,Southwest, do you know that your lost baggage portal http://t.co/hUcLXluV5h doesn't work on mobile? It's a 404 http://t.co/O4ZR27Qpcr,136
12895,negative,Customer Service Issue,American, should prob give me a refund since they made me miss my flight waiting to talk to someone for 3 hours... http://t.co/4SFpcbyy9m,140
11729,negative,Cancelled Flight,US Airways, have done that. Sadly no flight from CLT has gotten to IND today and we head back to Tampa tmrw.,107
12900,neutral,,American, Flight Get Me Out Of Chicago.,42
8093,positive,,Delta," what can I say, I'm #LostinLove w/our #brandmance https://t.co/Bzwgp7aDVE #wemosaictogether #Mint #Love",112
6075,neutral,,Southwest, so I saw the promo for A-List when I was on a plane this Monday. I fly two more times in the qualification period. 1/2,132
3586,negative,Late Flight,United, well the income flight to dca to take us to ewr was delayed and it made us miss our connection to FLL so yes hotels were necessary,138
12318,neutral,,American, drop me a follow I need help,41
7715,positive,,Delta," OK, thank you.",23
8389,negative,Customer Service Issue,Delta, I spent over an hour of my morning on hold w/ your customer support. I want my confirmed flight to be taken care of,124
6377,negative,Lost Luggage,Southwest," where are our bags?
We have a tv show to film!!",61
8084,negative,Customer Service Issue,Delta," when i sign in into TrueBlue, why do I have to do it twice? happens to everyone around me",98
8867,neutral,,Delta," I would fly to Washington  DC to see the actual Constitution  and the Declaration of Independence, in honor of a US Navy friend.",137
14396,negative,Flight Booking Problems,American, that's not what I asked :)) I'm looking to change a Flight Booking Problems for 03.03. Can you help,112
701,negative,Customer Service Issue,United, hence why I've been asking for the customer service phone number so I can speak to a real person to get this sorted out,127
13072,negative,Customer Service Issue,American," 2 hours now!  No I'm not patient.  Why don't you have a call back feature or pay someone to answer the phone, not tweet #onhold",140
4482,neutral,,Southwest, sent,18
7887,positive,,Delta,"   Wow, awesome videos guys https://t.co/dbcvEPn5QC Great work. #Bluemanity #CoreValues  #Passion #AeroJobMarket #avgeek",135
10830,negative,Customer Service Issue,US Airways, how do I get you to stop sending me emails about my ex boyfriends account? I don't care how many points he has! He only has,134
11627,negative,Cancelled Flight,US Airways," delayed my flight 3 times before Cancelled Flighting it, had angry and rude workers, and are now providing no helpful service at all",143
12536,negative,Can't Tell,American, *does = doesn't,28
7526,positive,,Delta, flight to Orlando is unable to serve hot bevies.... So they've made movies and alcohol complimentary. That works,121
11575,negative,Can't Tell,US Airways, not even on your dime and free tickets.  #worsttraveldayever,71
329,neutral,,Virgin America,  Seattle bound. Wifey got me the duffle for vday. She's a keeper!!! Holla!!! http://t.co/JlOIbLnair,125
13270,neutral,,American, I need help Cancelled Flighting an upcoming flight made with AAdvantage miles. Record locator HFJKTO. Can someone please assist?,141
398,positive,,Virgin America, good to be home #texas #moodlighting http://t.co/N3BVZTY3zI,74
12841,negative,Customer Service Issue,American, for my delay and you know what I get a we don't credit anybody back a supervisor who cut me off when speaking,122
6975,neutral,,Delta,ýýý: Our fleet's on fleek. http://t.co/aJM3BhJVaaýýý #foh,61
117,positive,,Virgin America," is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",144
2324,negative,Flight Attendant Complaints,United, no wheelchairs,22
12773,negative,Customer Service Issue,American, I can't work with them if the call gets cut off while I'm still holding..... Is DFW looking any better tomorrow?,125
2521,negative,Late Flight,United," 
Flight UA1665 got delayed 2 hours due to a mechanical issue...could use a free drink or 3 to make up for this inconvenience",132
1058,negative,Late Flight,United, Flight UA1270 is descending into farce and we haven't left EWR yet. Is this going to get any worse?,107
13085,negative,Customer Service Issue,American, Still on hold. Way to suck.,40
6090,negative,Flight Attendant Complaints,Southwest, had a very rude gate agent at BWI tonight gate B8 after a 6.5hr delay for flight 1172. I think a little training is in order.,139
1665,positive,,United, I trust you enough to put my coat in my checked bag!,60
5244,negative,Cancelled Flight,Southwest, 3 flights Cancelled Flightled today. Now we have been on hold for over an hour!,93
1200,negative,Customer Service Issue,United," JH, thanks so much for reaching out. I was able to get assistance after waiting for 70 minutes.",103
6742,negative,Customer Service Issue,Southwest, won't answer their phones #HorribleService #NeverAgain #frustrated #AnswerThePhone,96
12361,positive,,American, Thank you for being so responsive on Twitter. Truly impressive.,76
7555,negative,Customer Service Issue,Delta, just a very rude rep while trying to book family vacation using trvl credit. on phone w/ new rep now who is being very helpful,135
11169,negative,Customer Service Issue,US Airways, I've been on hold for 36 mins and counting cause you charged my credit card for bag but provided no receipt and said error. Awful,140
4394,negative,Customer Service Issue,Southwest, I was told by customer service that only customer relations can extend the expiration date of my unused travel funds.,131
6337,neutral,,Southwest, Thanks I just sent a DM with this info.,53
12541,negative,Lost Luggage,American, I'll give a reward for whoever finds and returns to me on Thurs when I fly back thru . I ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,132
6110,negative,Customer Service Issue,Southwest," could care more about their customer, if there is a reasonable request :(",87
8653,negative,Customer Service Issue,Delta,  the two of you should team up to serve cinnabons on the flights!!!! #BonsInTheSky,100
4206,negative,Cancelled Flight,United, i got email that my reservations got Cancelled Flightled and i will be refunded.  Nothing got refunded as of yet,120
3867,neutral,,United," 6344,6373, Sfo-Dfw also 1576 SFO-ORD",44
11025,negative,Late Flight,US Airways," ruined our honeymoon by causing us to miss our international flight, and now we are stranded.",104
14614,negative,Customer Service Issue,American," I used the ""call back"" feature with an operator regarding my flight, got a call 2 hours Late Flightr and got hung up on. #pleasehelp",145
13284,negative,Can't Tell,American,"  You're both equally terrible, and I'm going to fight until I get complete satisfaction for how we were mistreated",134
7349,negative,Flight Booking Problems,Delta, what happens when I have a confirmed flight but no seat available during online checkin except for Even More Space upgrades?,133
1701,negative,Lost Luggage,United, lost my bags and there was a flight from Chi to Eri that landed over 1.5 hrs ago...yet still have zero updates?? #UnitedAirlinesSux,139
13169,neutral,,American, dmed back,22
5934,negative,Customer Service Issue,Southwest, Is your BWI-SJD service seasonal? Wasn't part of extension. Called intl desk. They didn't know. Want to fly in Sept on Sat.,137
3035,neutral,,United," Will do, cheers",23
6414,positive,,Southwest, all good now. Going to make it to Boston on time. I'm actually on your wifi right now,99
9011,neutral,,US Airways, we even offered to fly in to another airport and they said they couldn't do that. No explanation why they can't.,123
4811,positive,,Southwest," crew of WN3946 SAN-SFO was brilliant! Rita was hilarious. I know I've been down on you before, but this was a great flight",136
8731,negative,Cancelled Flight,Delta, the gate agent said our original plane got de-icing fluid in the engine that created a short so they took the plane out of service,139
13015,negative,Customer Service Issue,American, Least you could do would be to refund me the one-way ticket I had to buy since you weren't able to accommodate. Thank you.,135
2859,negative,Cancelled Flight,United, UA1023 sitting on Tarmac at ORD when there are visibly gates open. Reassign our gate.,93
4961,negative,Flight Booking Problems,Southwest, ridiculous how you want to charge me $209 to change flights even with multiple seats available on the flight I needed,131
865,neutral,,United, My mom left her Kindle on flight 1544 today. Burgundy case with a light. Seat 27D. Did anyone find it?,110
11775,negative,Customer Service Issue,US Airways, Thks 4 tip. Seems like a workaround rather than a customer-friendly solution. They should have an easily accessible email.,133
1675,negative,Bad Flight,United, - Plane came in with broken seat.  Rather than fix it they put a broken sign on it and separated me from my kids.,121
8943,positive,,Delta,  omg!  Wish I had a flight today!  Haha there's always next time!  Have fun at #LFT5,107
2696,neutral,,United, I have a question about my interview process I had only one interview but was the last person is that good or bad,121
11020,negative,Can't Tell,US Airways, the least you could do is make up for what you have caused. You are ruining people's memories! You should be ashamed!,128
10028,neutral,,US Airways, flights to Dfw Cancelled Flightled today?,52
502,neutral,,Virgin America, was wondering if you guys recieved my dm and we're able to potentially respond asap,98
12006,positive,,American,  Sounds like a date!,47
8332,negative,Can't Tell,Delta, Pooling and gifting are completely different.  I shouldn't have to be charged $375 to send points.  Its disgusting.,124
13364,negative,Customer Service Issue,American, how can I get travel question answered quickly... Online and calling not helping with this busy day,112
1414,negative,Customer Service Issue,United, You are a F&amp;$KING joke. Your customer service is woeful. If your staff tell a passenger that they will do something do it!,134
8709,negative,Late Flight,Delta, People kept saying it was due to weather but there were flights going directly to boston even after our flight.,120
6997,neutral,,Delta,............. RT : Our fleet's on fleek. http://t.co/X7iLzqdwe2,71
684,negative,Cancelled Flight,United, checking to see why flight 3466 (atl-ord) got Cancelled Flighted?,73
12547,positive,,American, but your flight crews &amp; ground crews have handled situation well. Texting notification let me catch a few winks during delay.,142
722,positive,,United, Definitely a compliment! I really thought my bag was lost after it was sent on to another airport. In the end I am a happy customer,139
9135,negative,Customer Service Issue,US Airways, Changing my flights with no explanations and still don't have a confirmation. So disappointed in the service,119
9857,neutral,,US Airways, So any ideas when the IT Geeks will plug in the servers so 639 can be on its way to PHX?,99
11144,neutral,,US Airways,  even airlines are scheming to get a follow from OBJ LMAOOO ï¿½ï¿½ï¿½ï¿½ï¿½ï,81
14138,negative,Customer Service Issue,American, you know nothing about customer service and I'll make sure everyone knows it,89
13640,negative,Customer Service Issue,American, speaking 2 languages paid off! as the US line left me over 70 min in hold -without an answer- the latinamerican solved in 20min,140
5958,negative,Can't Tell,Southwest, no flights to HRL :( is this a limited route?,59
160,negative,Flight Booking Problems,Virgin America," I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",118
8061,positive,,Delta, I can't wait to hear back from you regarding the internship opportunity! ï¿½ï,83
12512,negative,Customer Service Issue,American, I have filed multiple complaints. I prefer to continue warning the public instead of wasting more time with this inhumane corp.,140
2140,negative,Bad Flight,United, 6377 and now they sent our green tagged bags to the luggage carousel. It's been one mess up after another. Bad day ,130
2317,neutral,,United, also checked email you have on file for me and it is correct,68
12057,positive,,American, thank you!,23
1397,negative,Flight Attendant Complaints,United," It's the horrible attitude from staff after , not just the delay. Not the level of service or respect one expects from United",133
9955,negative,Lost Luggage,US Airways, where are my bags?,29
9868,negative,Can't Tell,US Airways," stuck on the ramp at DCA, US Air computer system crashed...everywhere.",81
5286,negative,Customer Service Issue,Southwest," Been on hold over 90 minutes. You can fly, but not answer the phone?",82
6611,negative,Customer Service Issue,Southwest," is there a problem with the website? I tried making changes w/ the app and the site but got ""unspecified errors""",126
4379,positive,,Southwest, I agree! RT : One airline is the fly-away favorite at DIA  #9NEWSBusiness http://t.co/o3WlaInImY,116
816,negative,Lost Luggage,United, Connection at ORD was on the exact same plane again. Checked carry-on was apparently taken off &amp; left in Chicago. Pretty ridiculous.,144
450,negative,Bad Flight,Virgin America, Thanks for making my flight from LAX to JFK a nightmare by forcing me to check my carry on bag at the gate. (1),126
13507,negative,Customer Service Issue,American," If you care, could you have someone call me to explain what is going on.",85
5997,positive,,Southwest, listening center is open seating just like on their planes. #RaganDisney,86
11665,positive,,US Airways," thx 4 replying. After trying 2 get thru many times, &amp; v-mail or people hanging up on, us we talked 2 tech...cont'd",129
6514,positive,,Southwest, #fattuesday Great job celebrating #mardigras today at Atlanta Airport. Another reason I'm nuts for you! http://t.co/8WBzOrRn3C,140
6403,negative,Customer Service Issue,Southwest, my sister and her family had to drive 1200 miles because you did not accommodate a rebook in a timely manner! HORRIBLE,132
13655,negative,Lost Luggage,American, highly disappointed in the baggage service with this merge with  you guys have lost our 1st bag and now missing items,140
13866,negative,Customer Service Issue,American, not yet. I'm next in the terminal a customer service area.,71
2626,positive,,United, awesome thank you very much for the help,48
1663,positive,,United, it was such a lovely part of this long day - attendants on UA5168 (most) /UA795 were beyond exceptional today. #GiveThoseLadiesRaise,140
11671,negative,Can't Tell,US Airways, ticket couldnt be used bc unable to get to departing dest (RSW) bc of blizzard in BOS. Told only way to use credit is $200 fine,138
12553,negative,Flight Booking Problems,American, hey! I have a name issue on my reservation can you help?,69
10494,negative,Can't Tell,US Airways," comin in clutch and sending me to Charlotte then home, I h8 u , except for Wayne u a real g #ThankJesus #ThankMe",135
2285,negative,Late Flight,United, Flight:UA1750 is basically a prison on the runway  SFO 6delays 4hrs of sitting no water no answers. reminded y I hate this airline,139
13286,negative,Customer Service Issue,American,"  contact me, or do something to alleviate this terrible, terrible service. But no, your 22 year old social media guru",137
10891,negative,Flight Attendant Complaints,US Airways, I respect the stress of a merger but one rep to reschedule/replane 15 ppl who are already Late Flight? #youcandobetter,129
6928,negative,Cancelled Flight,Delta, flight for tomorrow morning Cancelled Flighted &amp; can't seem to rebook me. They can't even get me a seat. No clear answer on why Cancelled Flighted.,160
940,negative,Cancelled Flight,United, Exhausted &amp; frustrated! Link to a FB post abt my travel issue https://t.co/LaRKC8vc4s,97
5415,negative,Customer Service Issue,Southwest, I'm going to need you to answer your phones. Being on hold for an hour isn't okay.,96
14199,positive,,American," ok, thanks you! Have a great night AA team!",56
4197,negative,Lost Luggage,United," Supposedly, they're out for delivery. I'll believe it when I see it.",76
12751,negative,Customer Service Issue,American, how about you give us a number to call instead of the empty email since you are not working on it,110
14249,negative,Can't Tell,American,  listening to all the flights taking off over my house and kicking myself for Flight Booking Problems an AM flight tomorrow. Iceday?,156
12820,negative,Flight Attendant Complaints,American," your DCA baggage claim employees should realize a please, a thank you and an apology can go a long way #customerservice #DCA",137
716,negative,Lost Luggage,United, Could you update me on the suitcase please? The online and phone tracking told me nothing. I was told I'd have it back yesterday!,137
14023,positive,,American,  Good luck at DFW this evening AA!,61
2320,negative,Customer Service Issue,United, how long does it take to get a response from your customer service about a complaint done through email?,112
9,positive,,Virgin America," Well, I didn'tï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿",47
4414,negative,Cancelled Flight,Southwest, flight to Atlanta getting Cancelled Flightled and then had to re schedule on the phone for over 1.5 hours with a rep this bumping us,146
